gameid	rule_idx	messageType	text
2340-873c7f2d-0469-4617-8313-3c110379ffb2	35	I	It's really complex. There are a lot of different aspects. They're flowers. If it has an orange stem, it's a zorb There are also thorns, dots/solid, vines, etc. that I'm sure all affect things too but I didn't want to spend that much time figuring it out
2340-873c7f2d-0469-4617-8313-3c110379ffb2	45	I	This one was really hard I'm not entirely positive but I'm pretty confident They're fish, either orange, purple, or white. Stripes or no stripes. They have a side fin and a top fin. Fangs and/or whiskers The fish must have whiskers. Fangs is irrelavant You might want to write this down, it's very specific If the body of the fish is orange, then ONLY white stripes with whiskers are correct If the body of the fish is white, then ONLY orange stripes with whiskers is correct Any color, no stripes, is okay as long as it has whiskers If the body of the fish is purple, then the stripes can be purple, orange, or white, it doesn't matter, it just still needs whiskers The color of the fins don't amtter matter
2366-b0fb57b3-a37d-485d-927d-0fcf927554c0	22	I	We need to find kwep. It is a bird  But again I am unable to find any distingusing features
2366-b0fb57b3-a37d-485d-927d-0fcf927554c0	32	I	zorb is a tree  It has white leaves on them 
2366-b0fb57b3-a37d-485d-927d-0fcf927554c0	42	I	Luzak is a kind of a flower  But they do not have any distinguising characteristics  
2554-b8e3398e-99f7-492d-890c-70d410930be2	3	I	All morseth have long whiskers. Color and pattern doesnt' matter.
2554-b8e3398e-99f7-492d-890c-70d410930be2	33	I	zorbs have apples AND leaves
2554-b8e3398e-99f7-492d-890c-70d410930be2	43	I	So a lot of these have the thorns at on the stem of the flower some however are just a simple stem and flower
2567-fb408d76-ca14-47ee-9948-4106e3a70b40	16	I	"any flower with an orange stem or vase"""" orange only "
2567-fb408d76-ca14-47ee-9948-4106e3a70b40	26	I	any flower with needles is a kwep, also any flower with purple petals is also a kwep purple petals only  so all flowers with needles, and all flowers with purple petals only
2567-fb408d76-ca14-47ee-9948-4106e3a70b40	36	I	any fish with 3 whiskers or 3 whisers with the whisker/barb on the lip is a zorb
2567-fb408d76-ca14-47ee-9948-4106e3a70b40	46	I	all bugs with a purple body are luzaks, purple body only not purple legs purple head, wings or antenna purple body only 
2603-f3371eba-abc4-4624-8f52-1efa06971f09	11	I	Okay, this one seemed more coherent. Here's what I found. Ollers are fish that look like catfish. Some have stripes, some do not. When they have white stripes (not colored stripes), they always an oller, except when the white-striped fish lacks a fang and whiskers, or only has one of those two things.  No stripes = no autoatically
2603-f3371eba-abc4-4624-8f52-1efa06971f09	21	I	Sorry about that last one. Not a ton of consistencies here either. They're kind of bug-looking things. Lots of the ones with purple wings were whatever the species is. Also, ones with white legs and no wings also counted.
2603-f3371eba-abc4-4624-8f52-1efa06971f09	41	I	"Hi there, it would appear that everything that has white leaves"" is a luzak."""
2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	7	I	Morseths have purple tails.
2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	27	I	Kweps are usually orange with white arms They usually have three arms or three thorns
2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	37	I	Zorbs usually have whiskers. What else can you tell me? They are usually orange with stripes
2696-91598059-fd51-4c5b-a05d-4e1a231ea54e	8	I	if the little dots are purple it's a morseth, i guess you could call them berries idk light purple dots
2696-91598059-fd51-4c5b-a05d-4e1a231ea54e	38	I	Zorbs are the ones with the two orange wings
2732-415d4bbe-f48b-44ec-a14f-30d36472233d	0	I	just all orange and thorns anything with just pink is NOT
2732-415d4bbe-f48b-44ec-a14f-30d36472233d	10	I	only the orange fish with pink stripes
2732-415d4bbe-f48b-44ec-a14f-30d36472233d	20	I	The kweep has wings and if its colored tentacles and legs
2732-415d4bbe-f48b-44ec-a14f-30d36472233d	30	I	any animal with white tail feathers
2754-860ba9cb-4617-417e-9c4f-98adb44da423	4	I	I honestly have no idea what makes the morseth different... Some had three colors, some had 2.  Some had antennae and some did not.  Some had 6 legs, some had 8...
2754-860ba9cb-4617-417e-9c4f-98adb44da423	14	I	They always have a mane.
2754-860ba9cb-4617-417e-9c4f-98adb44da423	24	I	They don't have berries on the branches.
2754-860ba9cb-4617-417e-9c4f-98adb44da423	34	I	Most of them have the whirly stems.  A very select few don't.  No other patterns.
2754-860ba9cb-4617-417e-9c4f-98adb44da423	44	I	They always have whiskers.  That's the only discernable trait.
3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	3	I	They have three long whiskers
3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	33	I	They either have three different colors or are all the same color - white is a color
3027-bf78bd29-679a-475a-b0c0-1ca9149a31dc	43	I	They usually have a purple stem and light purple petals 
3074-49613d2a-ce35-44f7-b6c9-f40cf4e7b8c4	5	I	Hello. The species has 12 legs. The species does not have any wings. That's all I noticed.
3074-49613d2a-ce35-44f7-b6c9-f40cf4e7b8c4	15	I	Looks like a bird. Can have 2 different colors and a tail. Can have 2 different colors with a tail and feathers on head.
3074-49613d2a-ce35-44f7-b6c9-f40cf4e7b8c4	35	I	Looks like a flower. It can either be just the stem and flower. Or a stem, flower, and 7 thorns. Or stem, flower, 7 thorns, and 3 extensions coming out of the flower. 
3074-49613d2a-ce35-44f7-b6c9-f40cf4e7b8c4	45	I	Looks like a fish. This is a lot.  Those that have only whiskers and are one solid color is part of the species. Those that have whiskers, one color for the body, one color for fins. Those that have whiskers, stripes, one color for body+stripes, and one color for fins. Those that have whiskers, stripes, one color for body, one color for fins+stripes. Those that have whiskers, a long tooth, stripes, one color for the body (including stripes) and one color for the fins belong to the species. Those that have whiskers, a long tooth, stripes, one color (including stripes and fins) belong to the species. Those that have whiskers, long tooth, one color for body and one color for fins are part of the species. Those with whiskers, long tooth, stripes, one color for stripes, one color for body+fins are part of species. Those that have whiskers, long tooth, stripes, one color each for body, fins, stripes. 
3292-849c8108-f161-4d50-9c85-6f1d4be1f645	8	I	so these looks like little trees and the ones we click on are the ones with little purple berries in the trees regardless of everything else, the correct ones have little berries (they look like two little circles next to each other) in the trees all the trees have berries, but we click on the ones with the purple berries
3292-849c8108-f161-4d50-9c85-6f1d4be1f645	38	I	Hi! I think that zorbs either have the larger orange wings or that they have purple legs
3421-d5e7a1c9-5535-439f-acec-fa522a1d5bad	26	I	Kweps have several traits.  most have spikes on stem of flower:4 on left and 3 on the right some kweps do not have spikes but they have all purple petals, they may have white dots on petal but the base of petal is purple The kweps without spikes have purple petals. They may or may not have white dots. All the other kweps with spikes vary in petal leaf color. If it has spikes on stem it is a kwep.
3421-d5e7a1c9-5535-439f-acec-fa522a1d5bad	36	I	zorbs are fish with 3 whisker hairs on their bottom face. Color, 
3421-d5e7a1c9-5535-439f-acec-fa522a1d5bad	46	I	There is a lot of variety.  Here are the traits of creature: look at the middle section head and body white head and purple body, purple head and purple body white head and orange body, orange head and purple body white head and orange body those are the traits to look for. everything else is false
3433-9fbe1a21-d2df-4898-aa34-ef0d4de19a53	7	I	This one should be easier It always has a tail the head and body (some heads have feathers on top some don't)  are always the same color The tail seems to always be purple and the wing is always a different color then the body (they eyes and beak are always the same color across all species good or bad it seems so you can ignore them)
3433-9fbe1a21-d2df-4898-aa34-ef0d4de19a53	17	I	hey I think I got this one All of them have purple flowers (twirly things up top) with berries the base (stem color didn't seem to matter) I saw no none species that had purple flower with berries so I think that's the key to this one.
3433-9fbe1a21-d2df-4898-aa34-ef0d4de19a53	27	I	so one of the properties of the Kweep is a flower with thorns and no arms another version is a flower with the 3 curly arms but I'm having figuring out exactly what disquishs them I think with the armed one its the stalk is a different color then the flower and the arm color can be either the color of the flower or stalk
3433-9fbe1a21-d2df-4898-aa34-ef0d4de19a53	37	I	o.k. this one is harder. So here is a thing all NON zorbs didn't have tusks but there where a couple zorbs without tusks (very few) and those seemed to have 3  different colors if they didn't have wiskers if they had wiskers they looked like a clown fish I believe that all zorbs had at least 2 differnt colors (top fin and body) many had a clown fish pattern which let it have up to 3 colors other then the rare outlier though all non zorbs didn't have tusks
3508-58b217d4-09b8-426f-89b2-a8809eb858f3	3	I	select all with moustache
3508-58b217d4-09b8-426f-89b2-a8809eb858f3	33	I	To be frank, select everything no means to draw a distinction
3508-58b217d4-09b8-426f-89b2-a8809eb858f3	43	I	Select every creature with the same color thorn as the beads in the leaf
3512-9958eeb0-bc76-436b-a94f-15e30b9ef1be	11	I	ollers are the ones with WHITE STRIPES and LONG MUSTACHES :) 
3512-9958eeb0-bc76-436b-a94f-15e30b9ef1be	41	I	ok this one is easy - Luzak's are the trees with white leaves ! ;)
3647-b5ca5d33-f130-48c2-aa77-0644809027ef	5	I	Last creature is the Morseth. It's main defining feature is that it is wingless. 100% of the ones I was shown were wingless
3647-b5ca5d33-f130-48c2-aa77-0644809027ef	15	I	The main two aspects by which we can distinguish them are: Orange wing and a tail The Oller always has an orange wing
3647-b5ca5d33-f130-48c2-aa77-0644809027ef	35	I	The species we are hunting for now is a flower, the Zorb Ok, a flower.   It seems to be very common, about 75% of what I clicked on was a Zorb
3647-b5ca5d33-f130-48c2-aa77-0644809027ef	45	I	This one is tougher, the main attribute of the species is whisker. Every Luzak has whiskers. Unfortunately, that's their main attribute that I could distinguish
3771-7fab58ff-8c75-4d77-8aa8-88ee52b3f02b	22	I	so with this make sure that it has one feather below the beck( mouth area)  that is white like it can be full of color every where else, but one must be white or clear*
3771-7fab58ff-8c75-4d77-8aa8-88ee52b3f02b	32	I	this one has white pedals connectd to the leaves there can be many colors inside, but there also have to be white one at least one white petal on the leaf, but can be colorful inside. Got it 
3771-7fab58ff-8c75-4d77-8aa8-88ee52b3f02b	42	I	but i think the middle pointy parts are mostly orange or clear of color its like spikes coming out of the vine and they should have some color to them
4063-8be7e2fe-fb21-4b46-93c3-95c1710e3ff2	7	I	like a bird owl
4063-8be7e2fe-fb21-4b46-93c3-95c1710e3ff2	37	I	that species looks like a fish have mustache
4230-fda03076-53a6-4db6-817e-ac9de1d93a62	9	I	Ok, morseths don't have any leaves at all. They can have little round berries on them but no leaves. They look much more bare than many other tree looking species.
4230-fda03076-53a6-4db6-817e-ac9de1d93a62	19	I	Boy, this one's hard. Ok, the only thing I coud see to what an oller is, they have purple middles and the petals around the purple were different colors. It can have thorns and long growths, just make suer the middle of the flower looking thing is purple and the petals have to be another color The petals cannot be purple
4230-fda03076-53a6-4db6-817e-ac9de1d93a62	49	I	Unfortunately, the only thing I could distingush what a luzak is is that they all had long ruffle tails. But some that were not also did
4425-a3abb5f0-7f59-4223-83cb-3e9df1acc2c0	9	I	Morseths are the one with curly skinny branches and no leavee from what ive learned Sitll kinda of confusing
4425-a3abb5f0-7f59-4223-83cb-3e9df1acc2c0	19	I	Ollers look the same as all the others to be honest with you they probably did that on purpose the only specifics is they have specific colors combined with specific parts but they all have similar parts and i cannot tell u the exact colors they are impossible unlike the other tests to tell which is different
4425-a3abb5f0-7f59-4223-83cb-3e9df1acc2c0	49	I	So luzaks come in alot of shapes and forms orange body, black eyes, yellow nose orange body yellow nose white hair black eyes yellow tail they differentiate between the others because they usually always have a tail
4463-cba53c47-956e-4b4d-9c3b-3cc4c7bd1a89	4	I	MORSETH
4463-cba53c47-956e-4b4d-9c3b-3cc4c7bd1a89	14	I	IT IS IN VIOLET COLOR
4463-cba53c47-956e-4b4d-9c3b-3cc4c7bd1a89	24	I	IT IS IN BLACK COLOR
4463-cba53c47-956e-4b4d-9c3b-3cc4c7bd1a89	34	I	IT IS IN RAINBOW COLOR
4463-cba53c47-956e-4b4d-9c3b-3cc4c7bd1a89	44	I	ZIHRA
4465-38283aa3-2833-4e56-9ab8-2ebc90d940f4	7	I	The morseth has to have purple tail feathers
4465-38283aa3-2833-4e56-9ab8-2ebc90d940f4	17	I	has to have purple leaves, unless it's all purple with no berries
4465-38283aa3-2833-4e56-9ab8-2ebc90d940f4	27	I	So all creatures that have thorns are kewps. Kweps can also have no thorns if they have an orange stalk.
4465-38283aa3-2833-4e56-9ab8-2ebc90d940f4	37	I	this was easier. they all have fangs
4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	9	I	morseths do not have leaves.  sometimes they have berries, sometimes they do not.
4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	19	I	All ollers seem to be orange flowers with purple centers.
4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	49	I	all luzaks have feathers. colors vary
4779-6aa1cd86-862c-479a-87c8-4cff5a50536a	4	I	Every bug with an orange head is a morseth
4779-6aa1cd86-862c-479a-87c8-4cff5a50536a	14	I	An oller has a purple wing and a crest of feathers around the head. No other coloration matters, and tail feathers don't matter.
4779-6aa1cd86-862c-479a-87c8-4cff5a50536a	24	I	Most kweps have white or pink trunks. they may have leaves, berrys, both, or neither some have light blue trunks if the leaves are white or orange. There were a few with other colors for their trunks, but I didn't see a clear pattern
4779-6aa1cd86-862c-479a-87c8-4cff5a50536a	34	I	A zorb is a flower with the center circle being orange. Some other zorbs exist, but with an unclear pattern I would choose every flower with an orange center circle.
4779-6aa1cd86-862c-479a-87c8-4cff5a50536a	44	I	Luzaks have three long wiskers, always They usually have a long tooth as well, the only exception seems to be if they are orange, they may not have a long tooth.
4796-57353b9e-0950-43b6-980c-6fefff977486	0	I	The flowers we are looking for have orange stems. There are a lot of other properties that the flowers have, but as long as the stems are orange, they're what we're looking for.
4796-57353b9e-0950-43b6-980c-6fefff977486	10	I	Hi! We are looking for fish that are orange with purple stripes. No other characteristics seem to matter.
4796-57353b9e-0950-43b6-980c-6fefff977486	20	I	There are two criteria for belonging to the species. First, if it has wings, no matter the color of anything, it belongs. If it doesn't have wings, but the antenna are orange, it belongs.
4796-57353b9e-0950-43b6-980c-6fefff977486	30	I	The birds that are part of the species have white feathers on their back. The feathers on their head doesn't matter, nor does anything else.
4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	3	I	The main distinguishing feature of the morseth is that it has three very long whiskers extending off its cheek
4850-aa693cee-b35a-47f2-8e3c-ba892ea0ab26	33	I	Ok, so I can't see any consistent pattern in the zorbs most of the plants are zorbs, there were only 4 out of the whole bunch of like 25 that were not
4859-7a0be6e0-a366-4f37-9769-088ac84ffad4	7	I	So what I've found is that Morseth have purple tails. No other feature matters.
4859-7a0be6e0-a366-4f37-9769-088ac84ffad4	17	I	If it has purple flowers on it, but ISN'T completely purple, then it's the right species. Doesn't count if the base is purple, only the flowers.
4859-7a0be6e0-a366-4f37-9769-088ac84ffad4	27	I	I THINK I got this one figured out.  If it has spikes on the stem/base, it's a kwep. If it DOESN'T have spikes, then the stem/base must be orange. Otherwise, it's not a kwep. So spikes or orange base = kwep. Anything else is a no go. Hope I have that right.
4859-7a0be6e0-a366-4f37-9769-088ac84ffad4	37	I	"If it has the fang"" looking thing on it's mouth OR small yellow stripes, it is a zorb."" Anything else is not."
4900-d645ea60-553c-4d7b-9a66-410b015eb8d8	22	I	So this one I'm not that sure about This species is called a kwep you can mark all fully white birds and any of them with two colors some of them can have three but I'm not sure what makes them kweps exactly
4900-d645ea60-553c-4d7b-9a66-410b015eb8d8	32	I	Hey so this one is a bunch of trees I'm not 100% sure on this one either but it looks like most of them have white leaves so that might just be the best way
4900-d645ea60-553c-4d7b-9a66-410b015eb8d8	42	I	Okay this one I don't know again but choose all of them with spines they will be flowers some of them will have thorns choose the ones with thorns
4924-577bd352-ecb7-4705-9687-1aefeedb6b64	7	I	Hi!  They all have purple tailfeathers.
4924-577bd352-ecb7-4705-9687-1aefeedb6b64	17	I	Hi!  All ollers have both purple leaves and berries.
4924-577bd352-ecb7-4705-9687-1aefeedb6b64	27	I	Hi there!  Looks like kweps tend to have thorns.
4924-577bd352-ecb7-4705-9687-1aefeedb6b64	37	I	Hi!  Most zorbs have purple bodies.
4987-1df364dc-9556-4343-b0bb-ffb586270944	11	I	they have to have three whiskers AND white stripes
4987-1df364dc-9556-4343-b0bb-ffb586270944	21	I	mostly colored in, not many white spaces
4987-1df364dc-9556-4343-b0bb-ffb586270944	41	I	just the trunk is colored in, or the trunk and berries are colored in and the leaves are empty
5085-01f01776-b15d-4363-8025-63679592b459	0	I	pick all the flowers with the orange stems, ignore all other features
5085-01f01776-b15d-4363-8025-63679592b459	10	I	the oller is always orange with a purple stripe
5085-01f01776-b15d-4363-8025-63679592b459	20	I	a kwep has attena
5085-01f01776-b15d-4363-8025-63679592b459	30	I	pick the birds with white tail feathers, ignore all other features
5228-fbcd860b-2d70-4afc-b3c8-fd597fa35aca	7	I	The morseth must have purple tail feathers. Nothing else matters.
5228-fbcd860b-2d70-4afc-b3c8-fd597fa35aca	17	I	"This one was much easier to decipher. They must have violet(light purple) leaves and berries (the berries can be any color including the violet) The stems"" The stems"" do not matter."""
5228-fbcd860b-2d70-4afc-b3c8-fd597fa35aca	27	I	It appears as though the kwep means a few different things. It needs to have thorns if it is white or violet, but not if it is orange.
5228-fbcd860b-2d70-4afc-b3c8-fd597fa35aca	37	I	The zorb must have a sharp fang except if there are orange stripes. In this case there does not have to be a fang.
5282-1d9ae0ed-9606-4151-845c-96897fd4d6fc	7	I	morseth have purple tail feathers. It doesn't matter if they have head feathers that are purple... it has to be that their tail feathers are purple.
5282-1d9ae0ed-9606-4151-845c-96897fd4d6fc	17	I	This one was easy. It has purple leaves and also berries (berries can be any color or blank)
5282-1d9ae0ed-9606-4151-845c-96897fd4d6fc	27	I	I just can't figure this one out. I spent a long time but there just doesn't seem to be a pattern. 
5282-1d9ae0ed-9606-4151-845c-96897fd4d6fc	37	I	This is another easy one. zorbs have one long tooth that comes down from their mouth. Nothing else matters.
5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	11	I	they are only one color and have stripes
5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	21	I	kewps have purple wings
5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	41	I	luzaks have colored berries with white leaves
5346-4c7326eb-3500-4fda-a49e-ce1a28c5b3e9	4	I	Morseths are insects with wings and antennae. I don't know the pattern to be honest 
5346-4c7326eb-3500-4fda-a49e-ce1a28c5b3e9	14	I	I honestly could not find a pattern But most of them had lots of feathers on their head and tail
5346-4c7326eb-3500-4fda-a49e-ce1a28c5b3e9	24	I	They are fully grown trees with dots on the branches No particular color
5346-4c7326eb-3500-4fda-a49e-ce1a28c5b3e9	34	I	A zorb is a flower with dots in the petals and long swirly things sticking out from the center of the flower
5346-4c7326eb-3500-4fda-a49e-ce1a28c5b3e9	44	I	They are fishes with both whiskers AND fangs Any color
5416-ab34d4cf-c24c-445f-99aa-cbbd258f0fbe	11	I	oller look like fish that ALWAYS have 3 whiskers and 3 WHITE stripes on their body and tail (2 on the body and 1 on the tail) that are always white they come in orange, white and purple
5416-ab34d4cf-c24c-445f-99aa-cbbd258f0fbe	21	I	kweep are generally lavendar, orange, and/or white.  they usually have wings and legs. googly eyes, and antennas  they look like bugs, have wings and many legs
5416-ab34d4cf-c24c-445f-99aa-cbbd258f0fbe	41	I	luzak are trees with WHITE leaves. the trunk can be any color they may or may not have fruit on them.  the specifically have white leaves that make them distinct from the others
5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	16	I	these boys have orange trunks tree trunks that is
5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	36	I	go for the long whisker boys
5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	46	I	On god I have no idea what makes it that. Let's just advance and get this bread
5434-fe2d8b82-8da4-4712-a121-f627616a7fe7	38	I	All insects with orange wings are the species. If it has white wings, it has to have a purple antenna, white head, purple legs, and orange body. If no wings, it has to have purple legs, can have no antenna or a white one, and the body varies. If purple wings, it has purple legs, orange antenna, and a white body and head.
5625-2b81a024-0bf8-4431-ac52-de407fc7972d	0	I	Another really easy one: the morseth will always have an orange stem It doesn't matter what color anything else is
5625-2b81a024-0bf8-4431-ac52-de407fc7972d	10	I	An oller is an orange fish with pink stripes, absolutely nothing else matters
5625-2b81a024-0bf8-4431-ac52-de407fc7972d	20	I	Alright so the general rule of thumb with kweps is that if it has wings, it's a kwep There were a few exceptions, but I couldn't tell what the differences were between the wingless kweps and not-kweps. If it has wings though it is 100% a kwep, so very easy
5625-2b81a024-0bf8-4431-ac52-de407fc7972d	30	I	A zorb is a birdlike creature with demon eyes and an UNCOLORED tail. It doesn't matter what the colors of anything else are It has to have a tail and it has to be uncolored
