text	labels	0	1	2
violet	001	000000000000000000000000000000000000000010000110011001010100000000000000000000	000000000000000000000000000000000000000000100111001001010100000000000000000000	000000000000000000000000000000000000000000100110011001010100000000000000000000
blank tree	001	000000000000000000000000000000000000000000000000000000000000000110000001000001	000000000000000000000000000000000000000000000000000000000000100010000001000100	000000000000000000000000000000000000000000000000000000000000000110000001000100
white spike	001	100001110010000000000000000000000000000000000000000000000000000000000000000000	100001110010000000000000000000000000000000000000000000000000000000000000000000	100001100110000000000000000000000000000000000000000000000000000000000000000000
hi target is green leaves and blue stem	001	000000000000000000000000000000000000000000000000000000000000000110100001000001	000000000000000000000000000000000000000000000000000000000000000110000011100000	000000000000000000000000000000000000000000000000000000000000000110100001100000
hi white stem and purple color flower	001	000000000000000000000000000000000000000000110010011001001100000000000000000000	000000000000000000000000000000000000000000110010101001100100000000000000000000	000000000000000000000000000000000000000000110010101001001100000000000000000000
hi white wings	001	000000000001001001010010001100000000000000000000000000000000000000000000000000	000000000001001001100010001100000000000000000000000000000000000000000000000000	000000000001001001001010001100000000000000000000000000000000000000000000000000
white fish without color	001	000000000000000000000000000000110010101100000000000000000000000000000000000000	000000000000000000000000000000110011001100000000000000000000000000000000000000	000000000000000000000000000000110010001100000000000000000000000000000000000000
It's orange with a whisker	001	000000000000000000000000000010011000101100000000000000000000000000000000000000	000000000000000000000000000000111000101100000000000000000000000000000000000000	000000000000000000000000000010011000101100000000000000000000000000000000000000
Full orange no stripe	001	000000000000000000000000000001011000001100000000000000000000000000000000000000	000000000000000000000000000010011001001100000000000000000000000000000000000000	000000000000000000000000000010011000001100000000000000000000000000000000000000
no cololr in the petals pink center thoughts? I huess the center is lavendar, not pink can you choose the right one?	001	000000000000000000000000000000000000000000110010010011010100000000000000000000	000000000000000000000000000000000000000001010010100011010100000000000000000000	000000000000000000000000000000000000000001010010010011010100000000000000000000
no color in the trunk of the tree, lavendar leaves	001	000000000000000000000000000000000000000000000000000000000001000010001001000001	000000000000000000000000000000000000000000000000000000000001000010001001000100	000000000000000000000000000000000000000000000000000000000001000010001001000001
white legs and butt	001	000000000000001010010100001100000000000000000000000000000000000000000000000000	000000000000001001010100010100000000000000000000000000000000000000000000000000	000000000000001001010100001100000000000000000000000000000000000000000000000000
no stripes	001	000000000000000000000000000000111000011100000000000000000000000000000000000000	000000000000000000000000000000111001001100000000000000000000000000000000000000	000000000000000000000000000000111000001100000000000000000000000000000000000000
green leaves and trunk	001	000000000000000000000000000000000000000000000000000000000010000010100001000100	000000000000000000000000000000000000000000000000000000000010000010001001010000	000000000000000000000000000000000000000000000000000000000010000010100001010000
white body with whiskers	001	000000000000000000000000000001011000101100000000000000000000000000000000000000	000000000000000000000000000000111000101100000000000000000000000000000000000000	000000000000000000000000000000111000101100000000000000000000000000000000000000
orange body white stripes	001	000000000000000000000000000001011000011100000000000000000000000000000000000000	000000000000000000000000000010011001001100000000000000000000000000000000000000	000000000000000000000000000010011000011100000000000000000000000000000000000000
orange trunk and balls lavendar leaves	001	000000000000000000000000000000000000000000000000000000000000100010001001001000	000000000000000000000000000000000000000000000000000000000000010010001001001000	000000000000000000000000000000000000000000000000000000000000100010001001001000
orange stripes no whiskers	001	000000000000000000000000000001011001001100000000000000000000000000000000000000	000000000000000000000000000001011000101100000000000000000000000000000000000000	000000000000000000000000000001011001001100000000000000000000000000000000000000
all purple	001	000000000000000000000000000000000000000001000010100011100100000000000000000000	000000000000000000000000000000000000000001000011000011010100000000000000000000	000000000000000000000000000000000000000001000010100011010100000000000000000000
red leaves white trunk	001	000000000000000000000000000000000000000000000000000000000001000010100001000001	000000000000000000000000000000000000000000000000000000000001000010000101000100	000000000000000000000000000000000000000000000000000000000001000010000101000001
no head or tail feathers no feathers on the head thoughts? bald bird hello, did you leave me? i guess ill return 	001	001100110010000000000000000000000000000000000000000000000000000000000000000000	001100110010000000000000000000000000000000000000000000000000000000000000000000	001100101010000000000000000000000000000000000000000000000000000000000000000000
the one with  only green dots	001	000000000000000000000000000000000000000000000000000000000000100011000001010000	000000000000000000000000000000000000000000000000000000000000010011000001010000	000000000000000000000000000000000000000000000000000000000001000011000001010000
the one with whiskers but no stripes	001	000000000000000000000000000001011000101100000000000000000000000000000000000000	000000000000000000000000000001011000001100000000000000000000000000000000000000	000000000000000000000000000001011000001100000000000000000000000000000000000000
the one with gold legs but no wings	001	000000000001001010000100010100000000000000000000000000000000000000000000000000	000000000001001010100100100100000000000000000000000000000000000000000000000000	000000000001001010000100100100000000000000000000000000000000000000000000000000
all pink one	001	000000000000000000000000000001010101001100000000000000000000000000000000000000	000000000000000000000000000001010100011100000000000000000000000000000000000000	000000000000000000000000000001010100101100000000000000000000000000000000000000
golden legs	001	000000000000101010010001010100000000000000000000000000000000000000000000000000	000000000000101010010001001100000000000000000000000000000000000000000000000000	000000000000101010010001100100000000000000000000000000000000000000000000000000
pink dots	001	000000000000000000000000000000000000000000000000000000000000010010000011000001	000000000000000000000000000000000000000000000000000000000000100010000011000001	000000000000000000000000000000000000000000000000000000000000010010000011000001
pink thing by the eyes	001	000000000000101100001100001100000000000000000000000000000000000000000000000000	000000000001001100001100001100000000000000000000000000000000000000000000000000	000000000000101100001100001100000000000000000000000000000000000000000000000000
golden body and thing by the eyes	001	000000000000011100000001001100000000000000000000000000000000000000000000000000	000000000001001010000001001100000000000000000000000000000000000000000000000000	000000000001001100000001001100000000000000000000000000000000000000000000000000
golden	001	001001100110000000000000000000000000000000000000000000000000000000000000000000	010001100110000000000000000000000000000000000000000000000000000000000000000000	100001100110000000000000000000000000000000000000000000000000000000000000000000
golden 	001	010001101010000000000000000000000000000000000000000000000000000000000000000000	010001100110000000000000000000000000000000000000000000000000000000000000000000	010001110010000000000000000000000000000000000000000000000000000000000000000000
pink wings but white body	001	000000000000101001010010001100000000000000000000000000000000000000000000000000	000000000000101010010010001100000000000000000000000000000000000000000000000000	000000000000101001010010001100000000000000000000000000000000000000000000000000
all pink but white part	001	100010101010000000000000000000000000000000000000000000000000000000000000000000	001010110010000000000000000000000000000000000000000000000000000000000000000000	001010101010000000000000000000000000000000000000000000000000000000000000000000
pink by eyes	001	000000000000101001000010001100000000000000000000000000000000000000000000000000	000000000001001001000010001100000000000000000000000000000000000000000000000000	000000000000101001000010001100000000000000000000000000000000000000000000000000
purple outside	001	000000000000000000000000000000000000000010001011001001001100000000000000000000	000000000000000000000000000000000000000010001010011001001100000000000000000000	000000000000000000000000000000000000000010001010101001001100000000000000000000
golden center, pink stem	001	000000000000000000000000000000000000000010001011000001100100000000000000000000	000000000000000000000000000000000000000000101011000001010100000000000000000000	000000000000000000000000000000000000000010001011000001010100000000000000000000
purple outside, golden spikes	001	000000000000000000000000000000000000000000101011000011100100000000000000000000	000000000000000000000000000000000000000000101010100011100100000000000000000000	000000000000000000000000000000000000000000101010100011100100000000000000000000
white	001	000000000000000000000000000000000000000001001011000011010100000000000000000000	000000000000000000000000000000000000000001001010100011010100000000000000000000	000000000000000000000000000000000000000001001010010011010100000000000000000000
red leaves	001	000000000000000000000000000000000000000000000000000000000000000110000101000010	000000000000000000000000000000000000000000000000000000000000000110000011000010	000000000000000000000000000000000000000000000000000000000000000110000101000010
white wings, pink legs	001	000000000000101010001001001100000000000000000000000000000000000000000000000000	000000000000101010010001010100000000000000000000000000000000000000000000000000	000000000000101010001001010100000000000000000000000000000000000000000000000000
white center	001	000000000000000000000000000000000000000001000011000011001100000000000000000000	000000000000000000000000000000000000000010000011000011001100000000000000000000	000000000000000000000000000000000000000000100011000011001100000000000000000000
pink tree, gold leaves	001	000000000000000000000000000000000000000000000000000000000010000010000011000100	000000000000000000000000000000000000000000000000000000000010000010010001000001	000000000000000000000000000000000000000000000000000000000010000010010001000100
white pink stripes	001	000000000000000000000000000010010010101100000000000000000000000000000000000000	000000000000000000000000000000110010011100000000000000000000000000000000000000	000000000000000000000000000000110010101100000000000000000000000000000000000000
gold hair with one pink	001	001100110010000000000000000000000000000000000000000000000000000000000000000000	010100100110000000000000000000000000000000000000000000000000000000000000000000	010100110010000000000000000000000000000000000000000000000000000000000000000000
white	001	000000000000000000000000000000000000000000000000000000000000010010001001000010	000000000000000000000000000000000000000000000000000000000000010010000011000010	000000000000000000000000000000000000000000000000000000000000010010000011000010
pink and red	001	000000000000000000000000000000000000000000000000000000000000001010000011100000	000000000000000000000000000000000000000000000000000000000000001010001001100000	000000000000000000000000000000000000000000000000000000000000001010001001100000
white spikes pink center	001	000000000000000000000000000000000000000001000111000101010100000000000000000000	000000000000000000000000000000000000000000100111000101001100000000000000000000	000000000000000000000000000000000000000001000111000101001100000000000000000000
all pink	001	000000000000000000000000000010010100101100000000000000000000000000000000000000	000000000000000000000000000001010100011100000000000000000000000000000000000000	000000000000000000000000000001010100101100000000000000000000000000000000000000
pink without the gold part at the bottom	001	010010110010000000000000000000000000000000000000000000000000000000000000000000	001010110010000000000000000000000000000000000000000000000000000000000000000000	010010110010000000000000000000000000000000000000000000000000000000000000000000
all gold with spikes	001	000000000000000000000000000000000000000010000010101001100100000000000000000000	000000000000000000000000000000000000000010000011001001100100000000000000000000	000000000000000000000000000000000000000010000011001001100100000000000000000000
white and pink	001	000000000000000000000000000010010100011100000000000000000000000000000000000000	000000000000000000000000000001010101001100000000000000000000000000000000000000	000000000000000000000000000001010100011100000000000000000000000000000000000000
blue leaves	001	000000000000000000000000000000000000000000000000000000000000000010000011000010	000000000000000000000000000000000000000000000000000000000000100011000001000010	000000000000000000000000000000000000000000000000000000000000000011000001000010
pink at the bottom	001	001010101010000000000000000000000000000000000000000000000000000000000000000000	001010110010000000000000000000000000000000000000000000000000000000000000000000	001010101010000000000000000000000000000000000000000000000000000000000000000000
white wings pink legs	001	000000000000101100001100001100000000000000000000000000000000000000000000000000	000000000000101100100100010100000000000000000000000000000000000000000000000000	000000000000101100001100010100000000000000000000000000000000000000000000000000
green leaves blue tree	001	000000000000000000000000000000000000000000000000000000000000010010100001100000	000000000000000000000000000000000000000000000000000000000001000010100001001000	000000000000000000000000000000000000000000000000000000000001000010100001100000
gold wing, no hair	001	100001110010000000000000000000000000000000000000000000000000000000000000000000	001001101010000000000000000000000000000000000000000000000000000000000000000000	100001101010000000000000000000000000000000000000000000000000000000000000000000
all white with gold head	001	000000000000011001010100001100000000000000000000000000000000000000000000000000	000000000000011001001001001100000000000000000000000000000000000000000000000000	000000000000011001001100001100000000000000000000000000000000000000000000000000
all pink	001	010100100110000000000000000000000000000000000000000000000000000000000000000000	100100101010000000000000000000000000000000000000000000000000000000000000000000	010100101010000000000000000000000000000000000000000000000000000000000000000000
pink spikes, white center purple	001	000000000000000000000000000000000000000001000010100101010100000000000000000000	000000000000000000000000000000000000000000100010100101010100000000000000000000	000000000000000000000000000000000000000000100010100101010100000000000000000000
White tail, no antennae	001	000000000000101001010100001100000000000000000000000000000000000000000000000000	000000000000001010010100001100000000000000000000000000000000000000000000000000	000000000000001001010100001100000000000000000000000000000000000000000000000000
Orange center, no spikes on stem	001	000000000000000000000000000000000000000000100110010011010100000000000000000000	000000000000000000000000000000000000000010000110010011010100000000000000000000	000000000000000000000000000000000000000010000110010011010100000000000000000000
White body	001	000000000000000000000000000001011000011100000000000000000000000000000000000000	000000000000000000000000000010011000011100000000000000000000000000000000000000	000000000000000000000000000000111000011100000000000000000000000000000000000000
Purple head feathers	001	100010100110000000000000000000000000000000000000000000000000000000000000000000	100010110010000000000000000000000000000000000000000000000000000000000000000000	100010101010000000000000000000000000000000000000000000000000000000000000000000
Only orange and white	001	000000000000001001010001100100000000000000000000000000000000000000000000000000	000000000000001001100001010100000000000000000000000000000000000000000000000000	000000000000001001100001100100000000000000000000000000000000000000000000000000
Purple head feathers, no white wing	001	001100101010000000000000000000000000000000000000000000000000000000000000000000	010100110010000000000000000000000000000000000000000000000000000000000000000000	010100101010000000000000000000000000000000000000000000000000000000000000000000
White stem	001	000000000000000000000000000000000000000001000111001001010100000000000000000000	000000000000000000000000000000000000000001000111001001100100000000000000000000	000000000000000000000000000000000000000001000111001001001100000000000000000000
Orange and white	001	000000000000001010001100100100000000000000000000000000000000000000000000000000	000000000000001100100100100100000000000000000000000000000000000000000000000000	000000000000001100001100100100000000000000000000000000000000000000000000000000
Green vase	001	000000000000000000000000000000000000000000000000000000000000000110000101000001	000000000000000000000000000000000000000000000000000000000000000110000101001000	000000000000000000000000000000000000000000000000000000000000000110000101010000
Blue vase, red petals	001	000000000000000000000000000000000000000000000000000000000000000010001001100000	000000000000000000000000000000000000000000000000000000000000000010000101000001	000000000000000000000000000000000000000000000000000000000000000010000101100000
Purple wing, white tail	001	010010101010000000000000000000000000000000000000000000000000000000000000000000	100010100110000000000000000000000000000000000000000000000000000000000000000000	010010100110000000000000000000000000000000000000000000000000000000000000000000
White petals, white center, spikes on stem	001	000000000000000000000000000000000000000010010010010011010100000000000000000000	000000000000000000000000000000000000000000110010010011010100000000000000000000	000000000000000000000000000000000000000000110010010011010100000000000000000000
White wings	001	000000000000001100010100010100000000000000000000000000000000000000000000000000	000000000000001100100100010100000000000000000000000000000000000000000000000000	000000000000001100001100010100000000000000000000000000000000000000000000000000
Orange with purple stripes	001	000000000000000000000000000000111000101100000000000000000000000000000000000000	000000000000000000000000000010011000011100000000000000000000000000000000000000	000000000000000000000000000010011000101100000000000000000000000000000000000000
White body, white legs	001	000000000000101010000010001100000000000000000000000000000000000000000000000000	000000000000101001000010010100000000000000000000000000000000000000000000000000	000000000000101001000010001100000000000000000000000000000000000000000000000000
Orange wing and tail	001	001010110010000000000000000000000000000000000000000000000000000000000000000000	100010101010000000000000000000000000000000000000000000000000000000000000000000	100010110010000000000000000000000000000000000000000000000000000000000000000000
White	001	000000000000000000000000000000110010101100000000000000000000000000000000000000	000000000000000000000000000001010010011100000000000000000000000000000000000000	000000000000000000000000000000110010011100000000000000000000000000000000000000
Orange petals and center	001	000000000000000000000000000000000000000010000010010101010100000000000000000000	000000000000000000000000000000000000000000100011000101010100000000000000000000	000000000000000000000000000000000000000010000011000101010100000000000000000000
White wing and head feathers	001	010100100110000000000000000000000000000000000000000000000000000000000000000000	001100110010000000000000000000000000000000000000000000000000000000000000000000	001100100110000000000000000000000000000000000000000000000000000000000000000000
Purple with tooth	001	000000000000000000000000000000110100101100000000000000000000000000000000000000	000000000000000000000000000001010100101100000000000000000000000000000000000000	000000000000000000000000000001010100101100000000000000000000000000000000000000
Orange, no stripes	001	000000000000000000000000000000111000001100000000000000000000000000000000000000	000000000000000000000000000010011001001100000000000000000000000000000000000000	000000000000000000000000000010011000001100000000000000000000000000000000000000
Blue vase, red petals, small blue circles	001	000000000000000000000000000000000000000000000000000000000010000011000001100000	000000000000000000000000000000000000000000000000000000000010000010000101100000	000000000000000000000000000000000000000000000000000000000010000010000101100000
Purple petals, white center	001	000000000000000000000000000000000000000010010010100101010100000000000000000000	000000000000000000000000000000000000000000110011000101010100000000000000000000	000000000000000000000000000000000000000000110010100101010100000000000000000000
White vase, red circles	001	000000000000000000000000000000000000000000000000000000000000001010000011000100	000000000000000000000000000000000000000000000000000000000000100010000011000001	000000000000000000000000000000000000000000000000000000000000001010000011000001
Red vase, no small circles	001	000000000000000000000000000000000000000000000000000000000000010010001001000010	000000000000000000000000000000000000000000000000000000000000000010001001000100	000000000000000000000000000000000000000000000000000000000000000010001001000010
No stripes	001	000000000000000000000000000010010010101100000000000000000000000000000000000000	000000000000000000000000000010010010011100000000000000000000000000000000000000	000000000000000000000000000010010010001100000000000000000000000000000000000000
Orange petals, no spikes on stem	001	000000000000000000000000000000000000000010010011001001001100000000000000000000	000000000000000000000000000000000000000010010010011001001100000000000000000000	000000000000000000000000000000000000000010010011001001001100000000000000000000
Purple head, white antennae	001	000000000000011010000001001100000000000000000000000000000000000000000000000000	000000000001001010000010001100000000000000000000000000000000000000000000000000	000000000000011010000010001100000000000000000000000000000000000000000000000000
White wings, no purple	001	000000000000011010001001100100000000000000000000000000000000000000000000000000	000000000000011100001001100100000000000000000000000000000000000000000000000000	000000000000011100001001100100000000000000000000000000000000000000000000000000
Purple legs, no wings	001	000000000000101001000001001100000000000000000000000000000000000000000000000000	000000000000101001100001010100000000000000000000000000000000000000000000000000	000000000000101001000001010100000000000000000000000000000000000000000000000000
Orange vase, red petals	001	000000000000000000000000000000000000000000000000000000000000000110000101000100	000000000000000000000000000000000000000000000000000000000000000110000011001000	000000000000000000000000000000000000000000000000000000000000000110000101001000
Orange vase, purple circles	001	000000000000000000000000000000000000000000000000000000000001000010010001001000	000000000000000000000000000000000000000000000000000000000000010010010001000100	000000000000000000000000000000000000000000000000000000000000010010010001001000
White stem, orange center	001	000000000000000000000000000000000000000000100010101001001100000000000000000000	000000000000000000000000000000000000000010000010101001010100000000000000000000	000000000000000000000000000000000000000010000010101001001100000000000000000000
Orange body, purple stripes	001	000000000000000000000000000001010010101100000000000000000000000000000000000000	000000000000000000000000000010010010011100000000000000000000000000000000000000	000000000000000000000000000010010010101100000000000000000000000000000000000000
White body orange legs	001	000000000000001001000001010100000000000000000000000000000000000000000000000000	000000000000001010000001100100000000000000000000000000000000000000000000000000	000000000000001001000001100100000000000000000000000000000000000000000000000000
Purple tail	001	001100110010000000000000000000000000000000000000000000000000000000000000000000	001100110010000000000000000000000000000000000000000000000000000000000000000000	001100101010000000000000000000000000000000000000000000000000000000000000000000
White stem and petals, spikes on stem	001	000000000000000000000000000000000000000010001010100101001100000000000000000000	000000000000000000000000000000000000000010001010010101001100000000000000000000	000000000000000000000000000000000000000010001010010101001100000000000000000000
no wings, purple head	001	000000000000101001000001001100000000000000000000000000000000000000000000000000	000000000000101001100010001100000000000000000000000000000000000000000000000000	000000000000101001000010001100000000000000000000000000000000000000000000000000
all white	001	000000000000000000000000000010010010001100000000000000000000000000000000000000	000000000000000000000000000000110011001100000000000000000000000000000000000000	000000000000000000000000000000110010001100000000000000000000000000000000000000
blue and green leaves, yellow trunk	001	000000000000000000000000000000000000000000000000000000000001000011000001001000	000000000000000000000000000000000000000000000000000000000001000011000001000100	000000000000000000000000000000000000000000000000000000000001000011000001001000
blue and green leaves, red trunk	001	000000000000000000000000000000000000000000000000000000000010000010001001000010	000000000000000000000000000000000000000000000000000000000010000010100001000010	000000000000000000000000000000000000000000000000000000000010000010100001000010
white body, yellow head	001	000000000000011001000001001100000000000000000000000000000000000000000000000000	000000000000011001100100001100000000000000000000000000000000000000000000000000	000000000000011001000100001100000000000000000000000000000000000000000000000000
long whiskers, yellow stripes	001	000000000000000000000000000000110011001100000000000000000000000000000000000000	000000000000000000000000000000110011001100000000000000000000000000000000000000	000000000000000000000000000000110011001100000000000000000000000000000000000000
white and green leaves	001	000000000000000000000000000000000000000000000000000000000001000010001001000010	000000000000000000000000000000000000000000000000000000000000010010000011000010	000000000000000000000000000000000000000000000000000000000001000010000011000010
purple body with yellow stripes	001	000000000000000000000000000000110101001100000000000000000000000000000000000000	000000000000000000000000000010010101001100000000000000000000000000000000000000	000000000000000000000000000001010101001100000000000000000000000000000000000000
plain, no feathers on top or bottom	001	010100101010000000000000000000000000000000000000000000000000000000000000000000	010100100110000000000000000000000000000000000000000000000000000000000000000000	010100110010000000000000000000000000000000000000000000000000000000000000000000
white petals and white stem	001	000000000000000000000000000000000000000000110011001001001100000000000000000000	000000000000000000000000000000000000000000110010011001100100000000000000000000	000000000000000000000000000000000000000000110010011001001100000000000000000000
white petals, no thorns on the stem	001	000000000000000000000000000000000000000001010010100101100100000000000000000000	000000000000000000000000000000000000000001010010010101100100000000000000000000	000000000000000000000000000000000000000001010010010101100100000000000000000000
all purple with yellow stripes	001	000000000000000000000000000000110101001100000000000000000000000000000000000000	000000000000000000000000000001010100011100000000000000000000000000000000000000	000000000000000000000000000001010101001100000000000000000000000000000000000000
purple petals, white stem with thorns	001	000000000000000000000000000000000000000001010010101001001100000000000000000000	000000000000000000000000000000000000000001010010011001001100000000000000000000	000000000000000000000000000000000000000001010010101001001100000000000000000000
yellow petals, purple center, white stem with thorns	001	000000000000000000000000000000000000000001000111000101001100000000000000000000	000000000000000000000000000000000000000000100111000101001100000000000000000000	000000000000000000000000000000000000000001000111000101001100000000000000000000
white antennas with yellow legs	001	000000000000011010001010010100000000000000000000000000000000000000000000000000	000000000001001010001010100100000000000000000000000000000000000000000000000000	000000000000011010001010100100000000000000000000000000000000000000000000000000
yellow wing	001	010010110010000000000000000000000000000000000000000000000000000000000000000000	001010110010000000000000000000000000000000000000000000000000000000000000000000	100010110010000000000000000000000000000000000000000000000000000000000000000000
purple petals	001	000000000000000000000000000000000000000000100110010011010100000000000000000000	000000000000000000000000000000000000000000100111000011010100000000000000000000	000000000000000000000000000000000000000000100110100011010100000000000000000000
white petals and yellow stem	001	000000000000000000000000000000000000000000100110010001010100000000000000000000	000000000000000000000000000000000000000000100111000001100100000000000000000000	000000000000000000000000000000000000000000100110010001100100000000000000000000
yellow feathers, white wing	001	100010110010000000000000000000000000000000000000000000000000000000000000000000	001010110010000000000000000000000000000000000000000000000000000000000000000000	001010110010000000000000000000000000000000000000000000000000000000000000000000
purple center, yellow stem	001	000000000000000000000000000000000000000001000110100011010100000000000000000000	000000000000000000000000000000000000000000100110100011100100000000000000000000	000000000000000000000000000000000000000001000110100011100100000000000000000000
white tail feathers, white wing	001	010010100110000000000000000000000000000000000000000000000000000000000000000000	001010100110000000000000000000000000000000000000000000000000000000000000000000	001010100110000000000000000000000000000000000000000000000000000000000000000000
white wing, purple feathers	001	001100110010000000000000000000000000000000000000000000000000000000000000000000	100100101010000000000000000000000000000000000000000000000000000000000000000000	001100101010000000000000000000000000000000000000000000000000000000000000000000
blue and white	001	000000000000000000000000000000000000000000000000000000000000010011000001000010	000000000000000000000000000000000000000000000000000000000000000110001001000010	000000000000000000000000000000000000000000000000000000000000000111000001000010
purple wings, yellow legs	001	000000000001001001001100100100000000000000000000000000000000000000000000000000	000000000001001001010100001100000000000000000000000000000000000000000000000000	000000000001001001010100100100000000000000000000000000000000000000000000000000
blue leaves and blue trunk	001	000000000000000000000000000000000000000000000000000000000000000011000001000001	000000000000000000000000000000000000000000000000000000000000000010100001100000	000000000000000000000000000000000000000000000000000000000000000011000001100000
green trunk, purple leaves	001	000000000000000000000000000000000000000000000000000000000001000010001001010000	000000000000000000000000000000000000000000000000000000000001000010001001000001	000000000000000000000000000000000000000000000000000000000001000010001001010000
blue trunk, green leaves, no yellow	001	000000000000000000000000000000000000000000000000000000000000100010100001100000	000000000000000000000000000000000000000000000000000000000000000010100001000100	000000000000000000000000000000000000000000000000000000000000000010100001100000
purple with no stripes	001	000000000000000000000000000000111000001100000000000000000000000000000000000000	000000000000000000000000000001011000101100000000000000000000000000000000000000	000000000000000000000000000001011000001100000000000000000000000000000000000000
green trunk with white leaves	001	000000000000000000000000000000000000000000000000000000000000000110000001010000	000000000000000000000000000000000000000000000000000000000000000110000001000100	000000000000000000000000000000000000000000000000000000000000000110000001010000
yellow stem with thorns	001	000000000000000000000000000000000000000010000011000011100100000000000000000000	000000000000000000000000000000000000000010000011000011010100000000000000000000	000000000000000000000000000000000000000010000011000011100100000000000000000000
yellow wing, no feathers	001	001010100110000000000000000000000000000000000000000000000000000000000000000000	100010110010000000000000000000000000000000000000000000000000000000000000000000	100010100110000000000000000000000000000000000000000000000000000000000000000000
pruple with long whiskers	001	000000000000000000000000000010011000011100000000000000000000000000000000000000	000000000000000000000000000001011000011100000000000000000000000000000000000000	000000000000000000000000000001011000011100000000000000000000000000000000000000
white trunk with red leaves	001	000000000000000000000000000000000000000000000000000000000000001010010001001000	000000000000000000000000000000000000000000000000000000000000001010010001000001	000000000000000000000000000000000000000000000000000000000000001010010001000001
