trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass	example_id
0	flowers_purple_stems_thorns	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554915958391.0	speaker	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	thoughts?	3840	speaker	119990	chatMessage			821742101412698997
0	flowers_purple_stems_thorns	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554915986067.0	speaker	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	I huess the center is lavendar, not pink	9668	speaker	147660	chatMessage			821742101412698997
0	flowers_purple_stems_thorns	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916006055.0	speaker	flower-stem_color-purple	flower-center_color-white	flower-petals_color-purple	can you choose the right one?	5443	speaker	167649	chatMessage			821742101412698997
1	trees_without_leaves	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916042305.0	speaker	tree-leaves_present	tree-leaves_present-false	tree-trunk_color-purple	no color in the trunk of the tree, lavendar leaves	18741	speaker	23768	chatMessage			502657606772584935
2	bugs_without_wings	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916075145.0	speaker	bug-wings_present	bug-body_color-purple	bug-legs_color-purple	white legs and butt	4508	speaker	19714	chatMessage			3902553031326474446
3	bugs_white_heads_or_orange_antennae_purple_legs	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916094915.0	speaker	bug-head_color-white	bug-antennae_color-orange	bug-legs_color-white	only white is in the eyes	4530	speaker	8849	chatMessage			845041673837663238
3	bugs_white_heads_or_orange_antennae_purple_legs	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916101598.0	speaker	bug-head_color-white	bug-antennae_color-orange	bug-legs_color-white	no antennea	3871	speaker	15534	chatMessage			845041673837663238
4	fish_orange_bodies_purple_stripes_or_whiskers	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916111252.0	speaker	fish-stripes_present	fish-stripes_color-white	fish-stripes_color-orange	no stripes	2160	speaker	5923	chatMessage			-3133009845750619934
5	trees_purple_leaves_berries	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916130605.0	speaker	tree-leaves_color-purple	tree-trunk_color-purple	tree-leaves_color-purple	green leaves and trunk	4648	speaker	12461	chatMessage			-3790951420627942597
7	fish_orange_bodies_purple_stripes_or_whiskers	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916167725.0	speaker	fish-stripes_color-purple	fish-body_color-purple	fish-whiskers_present-false	white body with whiskers	5367	speaker	11087	chatMessage			-5051544699161536815
8	fish_fangs	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916194601.0	speaker	fish-fangs_present	fish-body_color-purple	fish-stripes_color-orange	orange body white stripes	5963	speaker	10303	chatMessage			-8814043323207292836
9	trees_white_leaves_or_orange_berries	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916218711.0	speaker	tree-berries_color-orange	tree-leaves_present-false	tree-berries_color-purple	orange trunk and balls lavendar leaves	11464	speaker	17751	chatMessage			6396756973751471578
10	fish_white_bodies_orange_stripes_or_fangs	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916238237.0	speaker	fish-body_color-white	fish-whiskers_present-true	fish-stripes_present-true	orange stripes no whiskers	6227	speaker	10533	chatMessage			-7279655369528745128
11	flowers_purple_stems_white_petals_or_orange_centers	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916256822.0	speaker	flower-petals_color-white	flower-stem_color-orange	flower-petals_color-orange	all purple	2513	speaker	5423	chatMessage			7326816042330033271
12	trees_orange_trunks_or_berries_white_leaves	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916273629.0	speaker	tree-leaves_color-white	tree-leaves_present-true	tree-trunk_color-purple	red leaves white trunk	6467	speaker	11048	chatMessage			-2561789857368589311
13	birds_orange_wings_tails	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916288727.0	speaker	bird-bird_wing_color-orange	bird-crest_present-true	bird-crest_tail_color-orange	no head or tail feathers	5487	speaker	9516	chatMessage			7195971912968100457
13	birds_orange_wings_tails	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916343622.0	speaker	bird-bird_wing_color-orange	bird-crest_present-true	bird-crest_tail_color-orange	no feathers on the head	3888	speaker	64411	chatMessage			7195971912968100457
13	birds_orange_wings_tails	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916378364.0	speaker	bird-bird_wing_color-orange	bird-crest_present-true	bird-crest_tail_color-orange	thoughts?	1328	speaker	99153	chatMessage			7195971912968100457
13	birds_orange_wings_tails	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916426322.0	speaker	bird-bird_wing_color-orange	bird-crest_present-true	bird-crest_tail_color-orange	bald bird	2702	speaker	147109	chatMessage			7195971912968100457
13	birds_orange_wings_tails	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916504804.0	speaker	bird-bird_wing_color-orange	bird-crest_present-true	bird-crest_tail_color-orange	hello, did you leave me?	9194	speaker	225589	chatMessage			7195971912968100457
13	birds_orange_wings_tails	development	9803-1b4d8ff5-22eb-4e9c-b63b-6ba9e29df5b5	1554916539768.0	speaker	bird-bird_wing_color-orange	bird-crest_present-true	bird-crest_tail_color-orange	i guess ill return 	11889	speaker	260553	chatMessage			7195971912968100457
0	trees_purple_leaves_berries	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921016909.0	speaker	tree-leaves_color-purple	tree-berries_present-true	tree-berries_color-purple	the one with  only green dots	12873	speaker	25392	chatMessage			-3481359746456855757
1	fish_white_bodies_orange_stripes_or_fangs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921046143.0	speaker	fish-stripes_color-orange	fish-stripes_present-true	fish-whiskers_present-false	the one with whiskers but no stripes	17697	speaker	23324	chatMessage			-4444912795413168747
2	bugs_antennae_or_wings_purple_bodies	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921072439.0	speaker	bug-body_color-purple	bug-legs_color-purple	bug-bug_wings_color-orange	the one with gold legs but no wings	11627	speaker	20944	chatMessage			-2994462983953965130
4	fish_orange_bodies_or_fangs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921113896.0	speaker	fish-body_color-orange	fish-stripes_color-orange	fish-stripes_color-white	all pink one	3655	speaker	11530	chatMessage			-7619464702078131467
5	bugs_purple_wings_or_white_legs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921128772.0	speaker	bug-legs_color-white	bug-legs_color-purple	bug-legs_color-white	golden legs	2431	speaker	8855	chatMessage			5083036298755670459
6	trees_purple_trunks_or_white_leaves_orange_berries	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921139589.0	speaker	tree-trunk_color-purple	tree-berries_present-false	tree-berries_color-orange	pink dots	2413	speaker	6150	chatMessage			8861799311400298288
7	bugs_orange_antennae_or_wings	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921162121.0	speaker	bug-antennae_color-orange	bug-antennae_present-false	bug-antennae_color-orange	pink thing by the eyes	12072	speaker	16432	chatMessage			6431193800268508039
8	bugs_orange_head	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921185740.0	speaker	bug-head_color-orange	bug-antennae_present-true	bug-body_color-purple	golden body and thing by the eyes	9780	speaker	18565	chatMessage			6711010060358939698
9	birds_orange_tails_or_white_wings_orange_crests	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921198407.0	speaker	bird-bird_wing_color-white	bird-bird_wing_color-white	bird-bird_wing_color-purple	golden	2277	speaker	7720	chatMessage			-4574802692975793513
10	birds_purple_wings_white_crests_or_white_tails	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921209397.0	speaker	bird-crest_tail_color-white	bird-crest_tail_color-purple	bird-crest_tail_color-white	golden 	3638	speaker	6784	chatMessage			1081618770273605849
11	bugs_white_heads_or_orange_antennae_purple_legs	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921229792.0	speaker	bug-head_color-white	bug-wings_present-false	bug-body_color-purple	pink wings but white body	9518	speaker	16042	chatMessage			-8263713602420098788
12	birds_purple_wings_white_crests_or_white_tails	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921250789.0	speaker	bird-crest_present	bird-bird_wing_color-orange	bird-crest_tail_color-orange	all pink but white part	10768	speaker	16190	chatMessage			-2437931961312247547
14	bugs_wings_antennae	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921294951.0	speaker	bug-antennae_present	bug-antennae_present-false	bug-antennae_color-orange	pink by eyes	6964	speaker	13831	chatMessage			-8591100708932161697
15	flowers_purple_stems_white_petals_or_orange_centers	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921323180.0	speaker	flower-center_color-orange	flower-petals_color-orange	flower-petals_color-white	purple outside	12289	speaker	23213	chatMessage			139532097907542143
16	flowers_purple_petals_or_thorns	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921352291.0	speaker	flower-petals_color-purple	flower-stem_color-orange	flower-center_color-white	golden center, pink stem	7677	speaker	24646	chatMessage			-2173213464755549816
18	flowers_purple_stems_thorns	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921430856.0	speaker	flower-stem_color-purple	flower-petals_color-orange	flower-thorns_present-false	purple outside, golden spikes	15229	speaker	42400	chatMessage			6788727133588763007
19	flowers_orange_stems_or_thorns	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921448896.0	speaker	flower-thorns_present	flower-petals_color-orange	flower-petals_color-purple	white	1884	speaker	11789	chatMessage			651832667333114813
20	trees_orange_trunks_or_berries_white_leaves	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921463671.0	speaker	tree-leaves_present	tree-leaves_present-false	tree-leaves_color-white	red leaves	3339	speaker	10536	chatMessage			8721547754618397516
21	bugs_without_wings	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921483678.0	speaker	bug-wings_present	bug-legs_color-white	bug-wings_present-true	white wings, pink legs	6418	speaker	15680	chatMessage			7710921231495960666
22	flowers_purple_stems_or_thorns_white_centers	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921497981.0	speaker	flower-center_color-white	flower-center_color-purple	flower-center_color-orange	white center	4712	speaker	9272	chatMessage			618310979902924133
23	trees_purple_trunks_or_white_leaves_orange_berries	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921513069.0	speaker	tree-berries_color-orange	tree-leaves_color-white	tree-trunk_color-white	pink tree, gold leaves	7348	speaker	10715	chatMessage			306469985598131332
25	fish_white_stripes_whiskers	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921550014.0	speaker	fish-stripes_color-white	fish-body_color-orange	fish-stripes_present-true	white pink stripes	10000	speaker	13264	chatMessage			-1404621933145169812
26	birds_orange_tails_or_white_wings_orange_crests	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921569758.0	speaker	bird-crest_tail_color-orange	bird-bird_wing_color-white	bird-crest_present-true	gold hair with one pink	5534	speaker	14297	chatMessage			8906593849046700792
27	trees_purple_berries	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921580726.0	speaker	tree-berries_color-purple	tree-leaves_color-purple	tree-leaves_present-false	white	1267	speaker	4305	chatMessage			-737519459259106819
28	trees_orange_trunks_or_berries_white_leaves	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921591949.0	speaker	tree-leaves_color-white	tree-leaves_color-white	tree-berries_present-false	pink and red	3254	speaker	6605	chatMessage			850447814269592895
29	flowers_purple_centers_or_orange_stems_with_thorns	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921610846.0	speaker	flower-center_color-purple	flower-stem_color-purple	flower-center_color-white	white spikes pink center	7496	speaker	12924	chatMessage			-7437485262334843901
30	fish_white_stripes_or_purple_bodies_whiskers	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921621945.0	speaker	fish-body_color-purple	fish-body_color-orange	fish-stripes_color-white	all pink	4415	speaker	7085	chatMessage			689993248602488873
31	birds_orange_wings_tails	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921653510.0	speaker	bird-bird_wing_color-orange	bird-crest_tail_color-orange	bird-bird_wing_color-white	pink without the gold part at the bottom	10592	speaker	27128	chatMessage			6822501681718520706
32	flowers_orange_stems_or_thorns	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921667095.0	speaker	flower-stem_color-orange	flower-petals_color-purple	flower-thorns_present-false	all gold with spikes	5926	speaker	8688	chatMessage			-7245378218257232421
33	fish_orange_bodies_purple_stripes_or_whiskers	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921680911.0	speaker	fish-stripes_color-purple	fish-body_color-orange	fish-stripes_color-orange	white and pink	5300	speaker	8932	chatMessage			1763737301026838471
34	trees_purple_berries_or_white_trunks	development	1004-93156069-0b2d-483b-83a6-e06650009a53	1554921706962.0	speaker	tree-trunk_color-white	tree-leaves_color-white	tree-berries_color-orange	blue leaves	11560	speaker	20704	chatMessage			-7902594803749202501
